row,col,leg 1 angle,leg 1 color,leg 2 color,leg 3 color,center color
12.260254915624213,8.5,30,-1,-1,1,1
13.06927190999916,8.0,30,-1,-1,1,-1
12.81927190999916,8.5,90,-1,1,-1,-1
13.628288904374106,8.0,90,-1,1,1,1
13.878288904374106,8.5,30,1,1,-1,1
0.125,9.0,30,1,1,-1,1
0.6840169943749475,9.0,90,-1,-1,1,1
0.9340169943749475,9.5,30,1,1,-1,1
1.743033988749895,9.0,30,-1,1,1,-1
1.493033988749895,9.5,90,1,-1,1,1
2.3020509831248424,9.0,90,-1,-1,1,-1
2.5520509831248424,9.5,30,-1,-1,1,-1
3.36106797749979,9.0,30,-1,1,1,-1
3.11106797749979,9.5,90,1,-1,1,1
3.9200849718747373,9.0,90,1,1,1,-1
4.170084971874737,9.5,30,-1,1,-1,1
4.979101966249685,9.0,30,1,1,1,1
4.729101966249685,9.5,90,-1,1,1,1
5.538118960624632,9.0,90,1,1,-1,-1
5.788118960624632,9.5,30,1,1,-1,-1
6.59713595499958,9.0,30,1,-1,1,-1
6.34713595499958,9.5,90,1,-1,-1,-1
7.156152949374527,9.0,90,1,-1,-1,1
7.406152949374527,9.5,30,1,-1,1,-1
8.215169943749475,9.0,30,-1,-1,-1,-1
7.9651699437494745,9.5,90,1,-1,1,-1
8.774186938124423,9.0,90,-1,1,1,1
9.024186938124423,9.5,30,1,1,-1,-1
9.83320393249937,9.0,30,1,1,-1,1
9.58320393249937,9.5,90,-1,1,1,-1
10.392220926874316,9.0,90,-1,1,-1,-1
10.642220926874316,9.5,30,-1,1,-1,-1
11.451237921249264,9.0,30,1,1,1,1
11.201237921249264,9.5,90,-1,-1,-1,-1
12.010254915624213,9.0,90,1,-1,1,-1
12.260254915624213,9.5,30,1,-1,1,1
13.06927190999916,9.0,30,-1,1,1,-1
12.81927190999916,9.5,90,1,1,-1,-1
13.628288904374106,9.0,90,1,1,1,1
13.878288904374106,9.5,30,1,1,-1,1
0.125,10.0,30,1,1,-1,-1
0.6840169943749475,10.0,90,1,1,-1,1
0.9340169943749475,10.5,30,1,-1,1,1
1.743033988749895,10.0,30,-1,-1,1,1
1.493033988749895,10.5,90,-1,1,-1,1
2.3020509831248424,10.0,90,1,-1,1,1
2.5520509831248424,10.5,30,-1,-1,1,-1
3.36106797749979,10.0,30,-1,1,-1,-1
3.11106797749979,10.5,90,-1,1,-1,1
3.9200849718747373,10.0,90,-1,-1,1,1
4.170084971874737,10.5,30,1,-1,-1,-1
4.979101966249685,10.0,30,1,1,-1,1
4.729101966249685,10.5,90,-1,-1,1,1
5.538118960624632,10.0,90,-1,1,-1,-1
5.788118960624632,10.5,30,1,-1,-1,1
6.59713595499958,10.0,30,1,-1,1,-1
6.34713595499958,10.5,90,1,1,-1,-1
7.156152949374527,10.0,90,-1,1,-1,-1
7.406152949374527,10.5,30,1,-1,-1,1
8.215169943749475,10.0,30,1,-1,-1,-1
7.9651699437494745,10.5,90,1,1,1,1
8.774186938124423,10.0,90,-1,1,-1,-1
9.024186938124423,10.5,30,1,1,1,1
9.83320393249937,10.0,30,1,1,-1,-1
9.58320393249937,10.5,90,1,-1,1,1
10.392220926874316,10.0,90,-1,-1,1,-1
10.642220926874316,10.5,30,-1,1,-1,1
11.451237921249264,10.0,30,1,1,1,-1
11.201237921249264,10.5,90,1,-1,1,-1
12.010254915624213,10.0,90,-1,-1,1,1
12.260254915624213,10.5,30,-1,1,-1,1
13.06927190999916,10.0,30,1,-1,1,1
12.81927190999916,10.5,90,1,1,1,1
13.628288904374106,10.0,90,1,1,1,1
13.878288904374106,10.5,30,-1,-1,1,1
0.125,11.0,30,1,1,-1,-1
0.6840169943749475,11.0,90,-1,1,-1,-1
0.9340169943749475,11.5,30,1,-1,1,1
1.743033988749895,11.0,30,-1,-1,1,1
1.493033988749895,11.5,90,-1,1,-1,-1
2.3020509831248424,11.0,90,-1,1,-1,1
2.5520509831248424,11.5,30,-1,-1,1,1
3.36106797749979,11.0,30,1,-1,-1,-1
3.11106797749979,11.5,90,1,1,-1,-1
3.9200849718747373,11.0,90,-1,1,-1,1
4.170084971874737,11.5,30,1,1,-1,1
4.979101966249685,11.0,30,1,-1,-1,1
4.729101966249685,11.5,90,-1,-1,1,1
5.538118960624632,11.0,90,-1,-1,-1,-1
5.788118960624632,11.5,30,-1,1,-1,1
6.59713595499958,11.0,30,1,-1,1,1
6.34713595499958,11.5,90,1,-1,-1,1
7.156152949374527,11.0,90,1,-1,1,1
7.406152949374527,11.5,30,-1,-1,1,-1
8.215169943749475,11.0,30,1,-1,1,1
7.9651699437494745,11.5,90,1,-1,-1,1
8.774186938124423,11.0,90,1,-1,1,1
9.024186938124423,11.5,30,-1,-1,-1,-1
9.83320393249937,11.0,30,1,-1,1,1
9.58320393249937,11.5,90,1,-1,-1,-1
10.392220926874316,11.0,90,1,-1,1,1
10.642220926874316,11.5,30,-1,1,1,1
11.451237921249264,11.0,30,-1,1,1,1
11.201237921249264,11.5,90,1,-1,1,1
12.010254915624213,11.0,90,1,-1,1,1
12.260254915624213,11.5,30,-1,-1,1,-1
13.06927190999916,11.0,30,-1,1,1,1
12.81927190999916,11.5,90,-1,-1,1,1
13.628288904374106,11.0,90,-1,1,1,1
13.878288904374106,11.5,30,-1,1,-1,1
0.125,12.0,30,1,1,-1,-1
0.6840169943749475,12.0,90,-1,-1,1,-1
0.9340169943749475,12.5,30,-1,1,1,1
1.743033988749895,12.0,30,1,-1,1,1
1.493033988749895,12.5,90,1,-1,-1,-1
2.3020509831248424,12.0,90,-1,1,1,-1
2.5520509831248424,12.5,30,-1,1,1,-1
3.36106797749979,12.0,30,1,1,-1,1
3.11106797749979,12.5,90,1,-1,1,1
3.9200849718747373,12.0,90,-1,1,1,1
4.170084971874737,12.5,30,1,-1,-1,1
4.979101966249685,12.0,30,-1,-1,1,-1
4.729101966249685,12.5,90,1,1,1,1
5.538118960624632,12.0,90,1,-1,-1,1
5.788118960624632,12.5,30,-1,-1,1,1
6.59713595499958,12.0,30,-1,1,1,1
6.34713595499958,12.5,90,-1,-1,-1,1
7.156152949374527,12.0,90,1,-1,1,-1
7.406152949374527,12.5,30,-1,1,-1,1
8.215169943749475,12.0,30,-1,1,1,1
7.9651699437494745,12.5,90,-1,1,1,-1
8.774186938124423,12.0,90,1,1,1,1
9.024186938124423,12.5,30,1,1,1,1
9.83320393249937,12.0,30,1,-1,1,1
9.58320393249937,12.5,90,1,1,-1,1
10.392220926874316,12.0,90,1,1,-1,1
10.642220926874316,12.5,30,1,-1,1,1
11.451237921249264,12.0,30,1,-1,1,-1
11.201237921249264,12.5,90,1,1,-1,1
12.010254915624213,12.0,90,1,1,1,-1
12.260254915624213,12.5,30,-1,-1,-1,-1
13.06927190999916,12.0,30,-1,1,-1,-1
12.81927190999916,12.5,90,1,1,-1,1
13.628288904374106,12.0,90,-1,1,1,1
13.878288904374106,12.5,30,1,1,-1,1
0.125,13.0,30,1,1,-1,-1
0.6840169943749475,13.0,90,1,-1,1,-1
0.9340169943749475,13.5,30,-1,1,1,1
1.743033988749895,13.0,30,-1,-1,1,1
1.493033988749895,13.5,90,1,1,1,1
2.3020509831248424,13.0,90,-1,-1,-1,1
2.5520509831248424,13.5,30,-1,-1,-1,-1
3.36106797749979,13.0,30,1,-1,1,-1
3.11106797749979,13.5,90,1,1,1,1
